File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0331_02_mesh_1.ply,1272.625,791.166,15.328,14.323,14.347,
0331_02_mesh_10.ply,96.592,154.825,7.952,7.372,4.866,0.045
0331_02_mesh_2.ply,2495.637,1454.835,54.351,12.222,9.414,0.739
0331_02_mesh_3.ply,228.609,333.077,18.207,8.818,5.018,0.069
0331_02_mesh_4.ply,344.621,715.010,75.565,18.832,8.372,0.090
0331_02_mesh_5.ply,171.548,316.483,35.981,7.232,5.420,0.064
0331_02_mesh_6.ply,336.883,689.773,76.087,8.551,6.062,0.361
0331_02_mesh_7.ply,463.021,723.482,65.514,15.892,8.530,0.299
0331_02_mesh_8.ply,535.070,569.786,25.922,20.276,9.749,0.269
0331_02_mesh_9.ply,180.960,352.194,45.916,5.559,4.777,0.069
