File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0408_14_mesh_1.ply,115.044,250.76,27.811,10.986,3.757,0.024
0408_14_mesh_10.ply,144.115,197.908,16.091,4.448,4.338,0.04
0408_14_mesh_11.ply,44.215,165.902,16.544,6.201,2.259,0.015
0408_14_mesh_12.ply,58.62,108.634,13.448,2.57,3.631,0.011
0408_14_mesh_13.ply,58.913,123.833,13.767,5.202,3.718,0.014
0408_14_mesh_14.ply,116.437,181.208,11.922,15.889,4.568,0.029
0408_14_mesh_15.ply,29.408,83.171,13.303,3.248,2.639,0.007
0408_14_mesh_16.ply,107.292,164.704,13.54,5.859,3.957,0.023
0408_14_mesh_17.ply,74.301,129.179,13.279,3.827,4.427,0.02
0408_14_mesh_18.ply,59.257,131.83,19.39,3.96,3.584,0.019
0408_14_mesh_19.ply,119.765,215.561,26.34,3.739,3.337,0.028
0408_14_mesh_2.ply,25.204,144.675,13.058,7.535,3.552,0.011
0408_14_mesh_20.ply,65.867,127.478,15.451,3.302,3.393,0.014
0408_14_mesh_21.ply,66.389,155.318,26.34,4.432,2.967,0.03
0408_14_mesh_22.ply,45.055,125.925,24.023,4.652,2.963,0.036
0408_14_mesh_23.ply,1261.902,778.855,15.661,15.022,12.969,
0408_14_mesh_24.ply,55.183,121.364,18.267,3.359,3.227,0.021
0408_14_mesh_25.ply,41.713,94.785,13.938,3.301,2.883,0.015
0408_14_mesh_26.ply,32.708,87.484,13.953,5.297,4.594,0.011
0408_14_mesh_27.ply,161.607,329.902,46.421,10.332,5.699,0.051
0408_14_mesh_28.ply,84.562,118.212,9.969,4.384,4.184,0.023
0408_14_mesh_29.ply,57.78,115.871,14.136,2.976,2.89,0.013
0408_14_mesh_3.ply,72.608,217.577,16.813,9.47,4.039,0.019
0408_14_mesh_30.ply,74.064,102.5,7.588,5.03,4.271,0.024
0408_14_mesh_31.ply,19.88,157.993,10.913,8.365,3.755,0.014
0408_14_mesh_32.ply,75.013,112.436,9.467,5.659,3.509,0.018
0408_14_mesh_33.ply,189.681,450.891,58.334,9.204,4.261,0.052
0408_14_mesh_34.ply,29.44,119.499,7.934,7.601,3.234,0.018
0408_14_mesh_35.ply,88.824,212.973,33.048,4.277,3.095,0.027
0408_14_mesh_36.ply,88.787,150.696,12.51,4.551,4.478,0.017
0408_14_mesh_37.ply,143.258,176.837,11.559,5.691,4.785,0.033
0408_14_mesh_4.ply,59.259,135.274,17.371,4.367,2.895,0.018
0408_14_mesh_5.ply,59.263,115.172,10.147,4.603,3.542,0.016
0408_14_mesh_6.ply,89.324,178.983,23.553,4.173,3.141,0.027
0408_14_mesh_7.ply,83.276,149.405,15.795,3.99,3.668,0.025
0408_14_mesh_8.ply,284.116,329.455,26.694,6.404,5.513,0.072
0408_14_mesh_9.ply,82.778,189.244,17.955,8.873,3.951,0.02
