File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0407_08_mesh_1.ply,68.871,138.723,16.256,6.698,3.298,0.017
0407_08_mesh_10.ply,73.322,105.692,9.119,4.405,4.317,0.025
0407_08_mesh_11.ply,160.302,389.331,54.749,20.932,6.988,0.055
0407_08_mesh_12.ply,22.558,207.325,20.713,8.204,3.383,0.016
0407_08_mesh_13.ply,114.392,199.43,19.98,10.121,6.762,0.039
0407_08_mesh_14.ply,1094.551,940.114,36.338,22.325,21.793,0.411
0407_08_mesh_15.ply,91.799,169.473,18.222,4.151,3.61,0.027
0407_08_mesh_16.ply,69.263,153.915,23.164,5.434,3.339,0.019
0407_08_mesh_17.ply,216.006,256.883,19.647,5.311,4.843,0.073
0407_08_mesh_18.ply,1291.755,831.566,14.412,17.737,14.423,
0407_08_mesh_19.ply,803.766,1421.581,124.504,42.724,32.284,0.955
0407_08_mesh_2.ply,45.726,321.695,24.417,9.272,2.943,0.021
0407_08_mesh_20.ply,139.144,331.69,48.668,12.49,7.79,0.042
0407_08_mesh_3.ply,60.832,519.905,22.862,11.851,5.099,0.04
0407_08_mesh_4.ply,25.259,121.633,12.087,4.954,2.492,0.012
0407_08_mesh_5.ply,78.338,201.67,27.445,10.948,3.458,0.024
0407_08_mesh_6.ply,122.793,260.43,28.445,15.32,4.751,0.045
0407_08_mesh_7.ply,78.953,191.281,26.797,4.365,4.504,0.025
0407_08_mesh_8.ply,91.725,215.708,33.648,7.515,3.483,0.031
0407_08_mesh_9.ply,135.324,236.363,23.548,4.262,4.171,0.036
