File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0406_01_mesh_1.ply,648.86,997.375,64.967,32.606,9.545,0.346
0406_01_mesh_10.ply,55.545,123.188,17.851,3.684,2.875,0.015
0406_01_mesh_11.ply,1188.121,705.833,12.987,11.242,14.167,
0406_01_mesh_12.ply,487.811,564.789,33.649,12.197,7.926,0.294
0406_01_mesh_13.ply,111.523,227.459,32.64,7.258,5.007,0.049
0406_01_mesh_14.ply,48.012,114.507,16.599,5.95,4.992,0.018
0406_01_mesh_15.ply,322.264,315.184,12.769,13.716,7.229,0.115
0406_01_mesh_2.ply,740.635,973.014,81.85,12.813,9.536,0.202
0406_01_mesh_3.ply,120.476,234.249,27.91,6.052,4.032,0.038
0406_01_mesh_4.ply,940.643,1266.472,61.77,49.947,15.21,0.55
0406_01_mesh_5.ply,66.169,159.177,17.627,8.383,4.458,0.026
0406_01_mesh_6.ply,492.288,829.884,66.441,21.638,14.565,0.164
0406_01_mesh_7.ply,40.566,133.042,22.976,8.393,2.947,0.01
0406_01_mesh_8.ply,248.851,365.356,28.119,6.765,7.118,0.101
0406_01_mesh_9.ply,86.707,206.485,28.069,10.857,5.228,0.036
