File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0407_18_mesh_1.ply,645.803,670.092,43.252,12.321,7.609,0.186
0407_18_mesh_10.ply,474.056,527.743,37.310,9.568,6.706,0.147
0407_18_mesh_11.ply,192.371,311.624,34.129,12.733,4.152,0.068
0407_18_mesh_12.ply,203.776,280.748,24.370,6.870,4.555,0.062
0407_18_mesh_13.ply,407.951,441.512,26.283,12.933,8.412,0.127
0407_18_mesh_14.ply,214.625,268.655,20.506,6.815,5.564,0.053
0407_18_mesh_15.ply,302.531,335.615,23.168,7.620,4.827,0.095
0407_18_mesh_16.ply,433.484,542.993,41.552,11.986,5.555,0.142
0407_18_mesh_17.ply,336.259,341.029,20.491,6.053,5.418,0.406
0407_18_mesh_18.ply,397.961,596.024,35.435,16.190,7.440,0.139
0407_18_mesh_19.ply,410.752,442.512,22.808,10.417,6.924,0.144
0407_18_mesh_2.ply,200.655,232.870,14.368,9.128,4.425,0.056
0407_18_mesh_20.ply,451.899,410.326,23.789,6.950,6.285,0.131
0407_18_mesh_21.ply,106.926,205.355,11.399,9.910,3.458,0.019
0407_18_mesh_22.ply,939.107,639.444,23.460,10.601,8.507,0.242
0407_18_mesh_23.ply,122.342,306.593,46.294,15.396,5.004,0.094
0407_18_mesh_3.ply,1225.127,703.319,15.529,11.987,14.229,
0407_18_mesh_4.ply,146.468,252.905,21.211,6.494,3.276,0.055
0407_18_mesh_5.ply,190.440,324.191,36.896,6.223,4.262,0.055
0407_18_mesh_6.ply,710.505,659.893,21.538,19.903,9.003,0.222
0407_18_mesh_7.ply,274.721,299.839,16.786,8.043,5.439,0.123
0407_18_mesh_8.ply,155.149,245.907,26.120,6.788,4.773,0.045
0407_18_mesh_9.ply,128.531,178.108,11.625,9.060,4.630,0.037
