File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0405_12_mesh_1.ply,11148.343,5278.576,148.213,31.365,14.840,5.243
0405_12_mesh_10.ply,103.977,278.874,33.712,14.507,3.836,0.053
0405_12_mesh_11.ply,1268.434,869.771,15.490,14.257,13.876,
0405_12_mesh_12.ply,81.906,152.442,19.847,4.207,4.483,0.030
0405_12_mesh_13.ply,184.564,351.422,35.790,12.887,4.375,0.085
0405_12_mesh_2.ply,800.946,800.058,35.647,18.439,11.424,0.466
0405_12_mesh_3.ply,520.988,1029.815,83.080,32.981,7.847,0.647
0405_12_mesh_4.ply,104.635,197.809,20.403,4.709,4.301,0.045
0405_12_mesh_5.ply,96.704,212.263,20.132,6.010,4.355,0.046
0405_12_mesh_6.ply,155.113,338.558,48.949,7.721,4.477,0.57
0405_12_mesh_7.ply,177.548,242.398,18.488,5.401,4.572,0.055
0405_12_mesh_8.ply,76.499,174.615,24.027,9.103,3.659,0.050
0405_12_mesh_9.ply,167.526,222.218,11.226,7.843,5.992,0.055
