File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0409_01_mesh_1.ply,102.345,293.752,44.109,13.988,8.042,0.071
0409_01_mesh_10.ply,26.333,73.552,5.689,5.530,3.470,0.011
0409_01_mesh_11.ply,14.601,181.249,12.627,8.670,4.106,0.017
0409_01_mesh_12.ply,15.376,96.703,11.899,4.855,2.266,0.007
0409_01_mesh_13.ply,31.933,83.427,7.498,6.595,2.318,0.010
0409_01_mesh_14.ply,71.205,113.262,12.807,3.218,3.837,0.019
0409_01_mesh_15.ply,37.734,127.516,16.821,5.819,2.652,0.009
0409_01_mesh_16.ply,34.279,86.452,14.743,4.022,3.720,0.008
0409_01_mesh_17.ply,24.946,89.803,14.575,7.253,2.976,0.008
0409_01_mesh_18.ply,13.090,85.333,13.034,7.047,3.996,0.005
0409_01_mesh_19.ply,24.933,119.876,18.714,6.666,3.236,0.005
0409_01_mesh_2.ply,36.714,119.443,13.591,5.242,3.012,0.012
0409_01_mesh_20.ply,29.461,116.217,23.962,4.112,2.862,0.005
0409_01_mesh_21.ply,94.568,218.420,36.383,6.330,5.000,0.021
0409_01_mesh_22.ply,28.191,52.322,5.954,3.448,3.342,0.006
0409_01_mesh_23.ply,1320.480,761.426,13.539,13.130,13.820,
0409_01_mesh_24.ply,159.175,229.172,18.958,13.287,4.632,0.046
0409_01_mesh_25.ply,87.621,168.296,21.490,7.368,3.507,0.022
0409_01_mesh_26.ply,45.047,134.938,13.341,6.623,5.164,0.015
0409_01_mesh_27.ply,109.220,238.160,26.869,9.499,5.976,0.034
0409_01_mesh_28.ply,88.853,237.640,18.959,12.090,7.462,0.020
0409_01_mesh_29.ply,44.841,113.752,11.612,9.101,2.853,0.023
0409_01_mesh_3.ply,12.479,100.992,10.170,5.832,4.110,0.006
0409_01_mesh_4.ply,37.675,127.664,21.165,6.487,5.709,0.012
0409_01_mesh_5.ply,37.665,75.658,6.907,3.241,4.299,0.012
0409_01_mesh_6.ply,7.881,77.034,10.182,4.390,2.243,0.004
0409_01_mesh_7.ply,82.327,179.163,27.015,6.660,2.855,0.019
0409_01_mesh_8.ply,25.656,117.860,7.106,7.133,5.640,0.009
0409_01_mesh_9.ply,26.994,79.962,7.514,6.329,3.529,0.008
