File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0403_15_mesh_1.ply,114.871,241.904,26.808,7.675,5.510,0.090
0403_15_mesh_10.ply,91.523,199.950,25.602,5.611,4.221,0.037
0403_15_mesh_11.ply,463.321,822.832,64.489,27.742,10.947,0.312
0403_15_mesh_12.ply,116.288,188.267,21.415,4.610,4.183,0.030
0403_15_mesh_13.ply,1279.665,827.274,13.483,13.742,16.041,
0403_15_mesh_14.ply,535.404,607.699,40.618,15.148,5.452,0.181
0403_15_mesh_15.ply,131.168,189.575,16.428,4.800,4.457,0.053
0403_15_mesh_2.ply,340.093,772.381,102.263,15.462,14.638,0.176
0403_15_mesh_3.ply,1064.977,1555.348,118.878,46.385,8.439,0.305
0403_15_mesh_4.ply,71.592,190.967,23.127,13.773,6.301,0.016
0403_15_mesh_5.ply,91.022,153.568,15.759,3.554,3.608,0.028
0403_15_mesh_6.ply,1008.210,1024.335,56.084,20.981,6.813,0.461
0403_15_mesh_7.ply,131.825,326.611,36.974,10.115,5.123,0.057
0403_15_mesh_8.ply,138.977,248.785,28.444,7.278,6.072,0.039
0403_15_mesh_9.ply,3998.444,3032.286,50.030,53.198,37.302,1.196
