File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0408_05_mesh_1.ply,29.295,53.483,12.200,6.985,1.832,0.009
0408_05_mesh_10.ply,122.820,125.815,31.968,9.335,6.790,0.021
0408_05_mesh_11.ply,16.763,107.436,33.277,8.454,2.782,0.009
0408_05_mesh_12.ply,48.571,44.296,8.385,7.008,2.006,0.007
0408_05_mesh_13.ply,24.420,104.610,32.657,7.482,3.181,0.009
0408_05_mesh_14.ply,66.591,81.767,24.172,4.275,2.529,0.011
0408_05_mesh_15.ply,89.057,43.609,15.222,2.581,1.914,0.007
0408_05_mesh_16.ply,61.727,39.721,15.951,3.501,1.575,0.003
0408_05_mesh_17.ply,1376.894,590.891,13.408,15.246,13.039,
0408_05_mesh_18.ply,61.068,52.628,11.729,9.625,1.840,0.005
0408_05_mesh_19.ply,121.755,45.337,9.465,7.642,1.761,0.008
0408_05_mesh_2.ply,37.333,64.717,16.755,3.926,3.390,0.015
0408_05_mesh_3.ply,22.066,49.243,18.189,2.968,1.922,0.009
0408_05_mesh_4.ply,24.136,50.035,14.824,2.626,1.894,0.006
0408_05_mesh_5.ply,230.840,77.823,8.256,7.362,7.182,0.007
0408_05_mesh_6.ply,0.777,138.083,41.105,11.076,3.968,0.013
0408_05_mesh_7.ply,15.903,38.108,8.404,4.144,2.174,0.006
0408_05_mesh_8.ply,88.033,98.191,32.264,5.534,5.397,0.013
0408_05_mesh_9.ply,18.274,51.244,7.932,8.155,2.998,0.009
