File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0404_07_mesh_1.ply,2280.435,2229.352,107.873,31.451,23.269,1.439
0404_07_mesh_10.ply,176.301,254.891,20.843,7.456,4.826,0.065
0404_07_mesh_11.ply,303.65,574.086,67.778,9.113,4.823,0.112
0404_07_mesh_12.ply,61.489,134.642,15.165,5.117,2.865,0.022
0404_07_mesh_13.ply,278.358,380.812,33.443,5.844,4.453,0.118
0404_07_mesh_14.ply,108.712,156.42,9.68,5.047,5.292,0.035
0404_07_mesh_15.ply,116.715,215.485,19.875,14.845,4.0,0.05
0404_07_mesh_16.ply,96.539,204.449,28.191,5.132,3.895,0.028
0404_07_mesh_17.ply,1234.91,757.586,14.879,14.593,12.516,
0404_07_mesh_18.ply,64.115,165.792,25.711,7.784,3.819,0.026
0404_07_mesh_2.ply,191.827,752.786,94.41,43.451,12.609,0.334
0404_07_mesh_3.ply,158.343,229.68,14.89,6.814,5.536,0.049
0404_07_mesh_4.ply,1328.156,1531.41,89.32,31.008,16.703,0.403
0404_07_mesh_5.ply,160.131,352.033,39.798,9.411,7.495,0.062
0404_07_mesh_6.ply,128.086,299.109,42.518,8.804,5.188,0.034
0404_07_mesh_7.ply,346.435,546.832,32.554,22.295,6.755,0.115
0404_07_mesh_8.ply,505.248,704.44,38.372,28.973,7.099,0.316
0404_07_mesh_9.ply,88.738,114.154,7.541,4.712,4.759,0.024
