File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0825_01_mesh_1.ply,666.808,7303.995,142.244,27.658,17.340,
0825_01_mesh_2.ply,325.471,1265.140,33.901,20.852,10.121,
0825_01_mesh_3.ply,382.902,1410.886,27.722,27.303,12.807,
0825_01_mesh_4.ply,506.836,1045.721,35.529,18.730,12.639,
0825_01_mesh_5.ply,1307.197,3171.007,64.895,26.728,17.639,
0825_01_mesh_6.ply,1167.421,2203.678,51.217,25.080,14.092,
0825_01_mesh_7.ply,518.200,604.679,39.315,10.952,5.273,
0825_01_mesh_8.ply,179.476,1692.959,47.460,24.143,13.298,
