File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0825_12_mesh_1.ply,54.519,587.717,21.582,16.316,5.973,
0825_12_mesh_10.ply,165.859,363.252,16.417,9.307,7.563,
0825_12_mesh_11.ply,110.556,306.270,16.207,8.382,5.076,
0825_12_mesh_12.ply,373.887,700.116,24.337,13.628,7.230,
0825_12_mesh_13.ply,117.504,366.387,11.984,12.340,10.808,
0825_12_mesh_14.ply,124.979,247.397,13.302,11.886,3.013,
0825_12_mesh_15.ply,526.152,1109.828,43.449,14.645,6.059,
0825_12_mesh_16.ply,607.207,868.732,39.964,11.957,9.309,
0825_12_mesh_17.ply,163.267,465.808,17.505,12.994,8.266,
0825_12_mesh_18.ply,450.624,897.547,34.853,9.855,6.952,
0825_12_mesh_19.ply,71.750,292.169,16.143,11.859,2.788,
0825_12_mesh_2.ply,182.288,721.524,31.890,14.659,9.493,
0825_12_mesh_20.ply,138.238,605.034,26.773,15.111,2.771,
0825_12_mesh_3.ply,154.724,397.367,31.102,8.272,3.798,
0825_12_mesh_4.ply,181.462,464.881,19.158,11.442,7.501,
0825_12_mesh_5.ply,112.953,423.578,21.340,15.060,4.811,
0825_12_mesh_6.ply,148.845,480.569,22.333,12.605,5.514,
0825_12_mesh_7.ply,240.953,526.526,15.355,14.501,9.955,
0825_12_mesh_8.ply,72.447,468.367,20.416,14.384,5.362,
0825_12_mesh_9.ply,151.750,333.228,15.100,10.365,5.463,
