File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0609_20_mesh_29.ply,293.149,296.431,19.278,5.569,5.152,
0609_20_mesh_3.ply,92.451,169.345,15.899,4.634,3.498,
0609_20_mesh_30.ply,338.371,415.033,28.679,11.517,4.896,
0609_20_mesh_31.ply,374.322,344.851,20.87,7.414,5.726,
0609_20_mesh_32.ply,126.622,185.677,16.632,7.26,4.51,
0609_20_mesh_4.ply,66.386,144.134,12.665,4.972,3.907,
0609_20_mesh_5.ply,151.128,220.657,22.122,4.464,3.92,
0609_20_mesh_6.ply,258.631,430.197,43.129,9.322,5.951,
0609_20_mesh_7.ply,82.0,203.385,19.747,6.869,3.48,
0609_20_mesh_8.ply,111.759,150.487,10.91,4.644,5.253,
0609_20_mesh_9.ply,164.109,268.536,24.508,5.76,4.648,
0609_21_mesh_1.ply,156.026,212.029,14.577,7.265,5.497,
0609_21_mesh_10.ply,57.095,85.299,6.688,4.623,4.226,
0609_21_mesh_11.ply,116.777,168.486,12.957,5.618,3.847,
0609_21_mesh_12.ply,102.517,161.123,15.865,3.783,4.017,
0609_21_mesh_13.ply,84.163,143.627,11.84,5.323,3.32,
0609_21_mesh_14.ply,184.38,225.825,14.202,6.299,5.092,
0609_21_mesh_15.ply,47.046,114.408,11.444,6.139,3.1,
0609_21_mesh_16.ply,133.439,176.513,14.32,5.706,4.026,
0609_21_mesh_17.ply,149.474,158.132,6.96,6.803,5.811,
0609_21_mesh_18.ply,196.186,224.972,15.003,5.573,5.51,
0609_21_mesh_19.ply,135.113,162.372,11.833,5.594,5.509,
0609_21_mesh_2.ply,40.531,79.951,7.389,4.054,4.437,
0609_21_mesh_20.ply,308.093,328.53,22.909,5.79,4.58,
0609_21_mesh_21.ply,81.662,181.068,12.003,9.782,3.885,
0609_21_mesh_22.ply,114.254,240.121,28.238,4.607,4.218,
0609_21_mesh_23.ply,56.135,93.267,8.475,4.026,3.264,
0609_21_mesh_24.ply,67.449,122.019,9.111,6.503,3.848,
0609_21_mesh_25.ply,57.71,87.406,7.866,3.964,3.902,
0609_21_mesh_26.ply,241.816,234.054,12.673,6.266,5.327,
0609_21_mesh_27.ply,61.947,100.156,7.446,4.94,4.019,
0609_21_mesh_28.ply,191.224,230.34,18.036,5.518,3.994,
0609_21_mesh_29.ply,134.772,281.065,18.905,10.252,5.491,
0609_21_mesh_3.ply,348.177,354.11,18.424,9.263,6.097,
0609_21_mesh_30.ply,87.341,204.316,13.608,9.456,4.289,
0609_21_mesh_31.ply,35.772,183.047,10.457,7.42,4.243,
0609_21_mesh_32.ply,110.693,184.129,16.899,4.467,4.106,
0609_21_mesh_33.ply,203.264,226.119,14.401,5.44,5.423,
0609_21_mesh_34.ply,50.636,89.09,10.422,3.446,3.706,
0609_21_mesh_35.ply,108.401,222.106,25.507,3.644,4.3,
0609_21_mesh_36.ply,92.606,148.089,12.622,7.517,4.356,
0609_21_mesh_37.ply,220.161,247.211,14.148,6.633,5.363,
0609_21_mesh_38.ply,166.975,195.958,12.247,5.322,5.933,
0609_21_mesh_4.ply,143.544,206.765,18.234,6.61,5.04,
0609_21_mesh_5.ply,46.536,121.471,10.506,8.927,3.178,
0609_21_mesh_6.ply,245.142,248.035,16.561,5.661,5.129,
0609_21_mesh_7.ply,331.482,374.811,27.595,8.912,4.983,
0609_21_mesh_8.ply,52.237,105.328,13.534,3.545,3.069,
0609_21_mesh_9.ply,77.832,123.509,13.656,4.069,3.566,
0609_22_mesh_1.ply,252.828,334.865,21.508,6.596,4.97,
0609_22_mesh_10.ply,175.191,360.128,45.108,6.726,4.062,
0609_22_mesh_11.ply,10.026,89.468,11.387,4.762,1.456,
0609_22_mesh_12.ply,52.588,94.004,7.89,6.126,3.472,
0609_22_mesh_13.ply,10.371,104.569,10.363,8.971,1.283,
0609_22_mesh_14.ply,61.772,95.833,7.547,4.888,4.055,
0609_22_mesh_15.ply,51.79,139.002,16.586,5.59,3.469,
0609_22_mesh_16.ply,60.73,101.93,10.14,6.537,3.816,
0609_22_mesh_17.ply,49.994,93.345,8.698,4.372,3.519,
0609_22_mesh_18.ply,91.688,166.688,17.709,5.389,3.444,
0609_22_mesh_19.ply,105.957,144.712,10.727,5.686,4.814,
0609_22_mesh_2.ply,19.206,69.411,7.03,5.482,2.956,
0609_22_mesh_20.ply,35.886,93.95,12.982,3.695,2.845,
0609_22_mesh_21.ply,78.884,140.94,16.832,7.499,4.127,
0609_22_mesh_22.ply,88.357,130.212,10.765,4.985,3.449,
0609_22_mesh_23.ply,24.664,76.066,12.246,4.411,2.207,
0609_22_mesh_24.ply,37.667,65.908,5.507,4.091,3.768,
0609_22_mesh_25.ply,63.869,167.915,17.138,6.972,3.195,
0609_22_mesh_26.ply,27.098,75.523,7.383,4.841,3.251,
0609_22_mesh_27.ply,50.118,103.062,11.775,3.712,3.243,
0609_22_mesh_28.ply,24.97,64.212,8.115,4.055,2.658,
0609_22_mesh_29.ply,21.222,54.095,6.313,3.964,2.891,
0609_22_mesh_3.ply,37.923,103.159,8.311,6.29,4.371,
0609_22_mesh_30.ply,1.996,76.308,6.381,6.393,4.283,
0609_22_mesh_31.ply,12.941,105.218,9.916,7.244,1.444,
0609_22_mesh_32.ply,0.798,92.882,10.062,6.632,0.892,
0609_22_mesh_33.ply,46.197,77.082,5.47,5.4,4.161,
0609_22_mesh_34.ply,9.879,90.476,8.943,7.452,1.978,
0609_22_mesh_35.ply,51.373,132.53,16.663,6.055,3.385,
0609_22_mesh_36.ply,23.492,85.92,9.895,6.015,2.102,
0609_22_mesh_37.ply,27.948,92.845,6.073,10.019,3.108,
0609_22_mesh_38.ply,6.56,97.246,10.662,7.22,1.018,
0609_22_mesh_39.ply,8.693,85.992,12.923,5.196,1.082,
0609_22_mesh_4.ply,110.148,167.703,17.426,5.685,4.343,
0609_22_mesh_5.ply,131.376,181.945,15.029,8.466,5.86,
0609_22_mesh_6.ply,59.798,89.741,6.339,5.9,3.872,
0609_22_mesh_7.ply,44.104,90.298,9.508,5.153,3.335,
0609_22_mesh_8.ply,7.319,99.065,10.737,7.176,2.478,
0609_22_mesh_9.ply,66.913,128.145,8.711,5.978,3.956,
