File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0524_08_mesh_1.ply,2480.875,1773.305,58.93,15.429,8.666,1.216
0524_08_mesh_10.ply,707.645,764.077,14.108,12.162,12.49,
0524_08_mesh_11.ply,833.452,601.005,19.272,10.256,9.793,0.246
0524_08_mesh_13.ply,23.37,225.853,17.796,6.129,4.363,0.013
0524_08_mesh_12.ply,245.885,319.673,19.178,6.68,4.793,0.056
0524_08_mesh_2.ply,576.153,736.891,34.262,10.333,6.575,0.19
0524_08_mesh_3.ply,1227.94,972.601,42.687,9.97,7.607,0.342
0524_08_mesh_4.ply,514.193,545.456,28.185,7.009,5.865,0.126
0524_08_mesh_5.ply,377.796,385.9,18.805,9.288,6.747,0.107
0524_08_mesh_6.ply,2604.793,1881.117,66.726,10.236,9.881,0.558
0524_08_mesh_7.ply,833.394,765.002,39.007,8.028,8.086,0.262
0524_08_mesh_8.ply,1349.566,945.643,36.842,13.394,8.664,0.35
0524_08_mesh_9.ply,1489.226,1309.038,45.9,14.852,12.423,0.453
