File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0524_07_mesh_1.ply,283.747,366.146,27.057,5.618,5.480,0.046
0524_07_mesh_10.ply,1299.962,964.426,13.847,13.602,15.050,
0524_07_mesh_2.ply,8.361,145.204,12.513,7.548,2.847,0.004
0524_07_mesh_3.ply,3075.639,2743.677,136.986,26.752,9.426,0.680
0524_07_mesh_4.ply,1182.935,1354.639,83.939,12.945,6.324,0.233
0524_07_mesh_5.ply,843.045,1458.097,92.728,44.006,7.047,0.159
0524_07_mesh_6.ply,618.726,653.485,39.432,6.059,5.184,0.111
0524_07_mesh_7.ply,6.359,136.417,12.708,6.263,1.384,0.006
0524_07_mesh_8.ply,290.395,640.707,61.475,23.354,7.504,0.070
0524_07_mesh_9.ply,130.018,317.850,45.681,11.309,3.713,0.041
