File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0521_01_mesh_1.ply,668.086,496.885,16.568,13.264,9.589,0.197
0521_01_mesh_10.ply,132.459,198.889,11.572,9.134,6.467,0.041
0521_01_mesh_11.ply,549.581,708.363,34.797,12.381,8.083,0.254
0521_01_mesh_12.ply,506.242,451.998,24.515,8.024,6.098,0.120
0521_01_mesh_2.ply,378.916,476.560,30.768,8.833,5.891,0.097
0521_01_mesh_3.ply,3586.363,1929.866,56.433,18.781,10.792,0.884
0521_01_mesh_4.ply,6907.698,3096.639,80.800,22.290,13.783,1.385
0521_01_mesh_5.ply,856.435,771.468,40.196,8.688,7.082,0.172
0521_01_mesh_6.ply,216.762,254.158,16.704,9.026,5.326,0.056
0521_01_mesh_7.ply,1628.778,1492.429,85.619,20.013,8.028,0.333
0521_01_mesh_8.ply,1287.683,1028.022,50.187,12.204,9.678,0.278
0521_01_mesh_9.ply,1172.456,776.134,16.352,13.582,13.194,
