File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0522_08_mesh_1.ply,6177.738,3938.221,146.518,39.645,15.377,2.965
0522_08_mesh_2.ply,6895.990,3539.735,122.619,19.304,14.235,2.436
0522_08_mesh_3.ply,957.373,749.500,35.847,9.183,7.608,0.220
0522_08_mesh_4.ply,2506.534,1915.702,88.834,12.024,10.389,0.963
0522_08_mesh_5.ply,1003.446,689.249,21.915,10.231,10.249,0.244
0522_08_mesh_6.ply,611.553,489.230,22.276,11.126,7.096,0.191
0522_08_mesh_7.ply,1236.599,741.464,16.880,14.151,13.864,
0522_08_mesh_8.ply,4303.821,2170.821,68.642,16.128,10.886,0.978
