File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0524_12_mesh_1.ply,439.123,355.030,15.247,9.505,7.210,0.114
0524_12_mesh_10.ply,21.733,210.149,12.381,8.980,5.367,0.009
0524_12_mesh_11.ply,1212.655,1025.947,14.012,13.878,13.901,
0524_12_mesh_12.ply,270.338,291.150,16.348,6.202,5.617,0.052
0524_12_mesh_13.ply,109.866,177.960,21.381,3.931,3.142,0.025
0524_12_mesh_14.ply,329.717,338.503,20.850,6.067,5.369,0.072
0524_12_mesh_15.ply,78.631,159.610,13.821,5.899,3.678,0.020
0524_12_mesh_2.ply,602.731,575.331,25.209,10.083,6.762,0.178
0524_12_mesh_3.ply,1479.936,1507.074,74.913,17.098,8.833,0.600
0524_12_mesh_4.ply,131.149,248.461,27.006,5.184,5.417,0.047
0524_12_mesh_5.ply,166.744,241.433,15.700,8.832,5.695,0.042
0524_12_mesh_6.ply,5663.922,2792.996,83.063,20.714,11.643,1.231
0524_12_mesh_7.ply,490.621,541.127,32.249,10.542,5.932,0.104
0524_12_mesh_8.ply,1065.733,799.752,36.211,12.066,7.948,0.273
0524_12_mesh_9.ply,36.731,322.437,16.201,8.505,4.682,0.012
