File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0524_04_mesh_1.ply,344.833,458.561,38.991,10.109,4.757,0.072
0524_04_mesh_10.ply,157.415,199.260,10.868,6.854,7.135,0.036
0524_04_mesh_11.ply,86.205,137.204,8.382,8.060,4.945,0.021
0524_04_mesh_12.ply,181.611,224.169,12.273,7.110,7.444,0.036
0524_04_mesh_2.ply,5312.906,3138.663,119.636,23.941,11.753,2.601
0524_04_mesh_3.ply,98.529,321.427,32.157,16.110,3.962,0.043
0524_04_mesh_4.ply,1196.764,880.468,17.120,16.824,13.866,
0524_04_mesh_5.ply,5196.213,2800.463,95.416,19.474,12.493,2.069
0524_04_mesh_6.ply,113.207,284.955,46.341,4.922,3.363,0.038
0524_04_mesh_7.ply,5.064,121.020,14.064,7.409,4.465,0.010
0524_04_mesh_8.ply,895.545,1077.572,64.687,25.561,8.381,0.232
0524_04_mesh_9.ply,76.654,141.962,11.710,4.876,4.944,0.024
