File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0524_06_mesh_1.ply,117.016,235.400,19.980,6.549,4.077,0.044
0524_06_mesh_10.ply,2715.762,1959.968,98.480,18.145,8.749,0.544
0524_06_mesh_11.ply,317.254,380.913,31.930,6.524,5.650,0.087
0524_06_mesh_12.ply,11.722,183.830,18.731,7.870,2.022,0.011
0524_06_mesh_13.ply,359.476,367.533,24.685,9.051,8.259,0.103
0524_06_mesh_2.ply,712.739,498.394,20.848,10.656,7.765,0.192
0524_06_mesh_3.ply,681.037,478.769,17.062,9.416,8.329,0.183
0524_06_mesh_4.ply,2179.017,1412.151,50.422,11.597,9.788,0.501
0524_06_mesh_5.ply,1507.159,1155.951,53.986,11.402,7.868,0.418
0524_06_mesh_6.ply,473.700,409.739,16.411,7.570,6.722,0.113
0524_06_mesh_7.ply,433.950,409.566,22.953,8.454,6.191,0.119
0524_06_mesh_8.ply,3107.477,1780.616,67.668,10.679,11.286,0.785
0524_06_mesh_9.ply,1200.165,723.144,15.289,13.561,14.037,
