File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0522_01_mesh_1.ply,1067.438,675.495,26.040,10.546,12.268,0.217
0522_01_mesh_10.ply,609.692,741.351,45.964,8.129,5.222,0.147
0522_01_mesh_11.ply,1211.044,874.794,30.847,13.223,9.448,0.428
0522_01_mesh_12.ply,2573.841,1364.262,38.479,13.487,11.508,0.625
0522_01_mesh_2.ply,2444.501,1291.289,41.847,17.351,12.268,0.397
0522_01_mesh_3.ply,235.877,292.198,22.131,6.245,5.145,0.055
0522_01_mesh_4.ply,2100.793,1600.734,80.564,12.545,7.979,0.568
0522_01_mesh_5.ply,1214.163,888.020,23.623,18.793,13.671,
0522_01_mesh_6.ply,2038.218,1583.321,78.799,12.902,9.503,0.771
0522_01_mesh_7.ply,977.089,764.422,34.837,8.408,7.394,0.252
0522_01_mesh_8.ply,398.316,360.445,15.302,9.347,4.867,0.116
0522_01_mesh_9.ply,184.118,241.662,14.412,6.634,6.251,0.074
