File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0508_01_mesh_1.ply,276.86,396.793,16.546,10.504,6.119,0.085
0508_01_mesh_10.ply,59.247,279.334,14.38,9.388,6.558,0.023
0508_01_mesh_11.ply,41.408,200.506,12.349,8.038,5.88,0.017
0508_01_mesh_12.ply,115.571,190.519,10.713,7.712,5.46,0.047
0508_01_mesh_13.ply,460.35,477.943,27.686,8.754,7.027,0.162
0508_01_mesh_14.ply,332.072,332.295,21.134,6.022,6.052,0.085
0508_01_mesh_15.ply,537.746,573.009,39.39,13.894,10.213,0.145
0508_01_mesh_16.ply,17.69,156.084,12.516,10.285,6.086,0.012
0508_01_mesh_17.ply,98.983,134.077,9.074,6.723,4.183,0.025
0508_01_mesh_18.ply,149.084,201.794,15.861,7.409,4.03,0.028
0508_01_mesh_19.ply,33.892,158.717,17.011,6.899,3.119,0.012
0508_01_mesh_2.ply,190.775,253.352,20.883,6.65,4.558,0.047
0508_01_mesh_20.ply,124.262,219.065,15.913,5.661,4.507,0.036
0508_01_mesh_21.ply,1260.859,865.125,17.454,14.616,13.265,
0508_01_mesh_22.ply,286.601,435.591,27.654,10.301,5.945,0.089
0508_01_mesh_23.ply,31.607,665.418,27.663,12.577,7.061,0.087
0508_01_mesh_24.ply,24.508,168.01,12.407,8.541,2.495,0.013
0508_01_mesh_3.ply,261.588,381.783,30.607,7.065,6.506,0.066
0508_01_mesh_4.ply,367.719,543.833,24.871,6.711,5.539,0.1
0508_01_mesh_5.ply,1969.934,1802.226,85.997,36.431,10.651,0.563
0508_01_mesh_6.ply,11.687,232.595,10.992,10.196,5.143,0.02
0508_01_mesh_7.ply,19.964,186.981,12.562,7.539,5.407,0.015
0508_01_mesh_8.ply,37.947,199.839,10.064,7.986,4.486,0.018
0508_01_mesh_9.ply,183.673,269.978,24.334,6.635,5.057,0.057
