File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0507_03_mesh_1.ply,68.946,156.473,23.908,4.943,2.611,0.018
0507_03_mesh_10.ply,46.605,270.674,19.669,8.404,3.565,0.041
0507_03_mesh_11.ply,50.649,104.162,12.111,3.234,2.74,0.015
0507_03_mesh_12.ply,13.233,108.715,8.41,9.27,3.414,0.012
0507_03_mesh_13.ply,57.964,130.941,13.935,7.395,2.651,0.015
0507_03_mesh_14.ply,232.372,503.433,48.678,29.062,16.482,0.053
0507_03_mesh_15.ply,133.641,185.59,7.843,7.785,6.478,0.042
0507_03_mesh_16.ply,61.406,210.54,12.594,10.094,4.316,0.023
0507_03_mesh_17.ply,232.063,472.5,46.809,15.056,5.936,0.062
0507_03_mesh_18.ply,132.643,228.426,23.721,5.335,3.936,0.03
0507_03_mesh_19.ply,122.963,278.245,32.336,9.034,3.74,0.036
0507_03_mesh_2.ply,66.207,151.563,20.594,3.974,2.911,0.016
0507_03_mesh_20.ply,262.078,496.424,41.519,12.056,17.757,0.086
0507_03_mesh_21.ply,23.832,183.969,14.108,7.43,2.751,0.015
0507_03_mesh_22.ply,58.405,151.738,19.088,4.366,2.955,0.02
0507_03_mesh_23.ply,255.371,361.996,26.638,7.244,10.445,0.083
0507_03_mesh_24.ply,115.84,151.089,11.102,5.373,4.257,0.03
0507_03_mesh_25.ply,28.47,116.522,13.957,4.079,2.271,0.01
0507_03_mesh_26.ply,106.778,195.548,18.414,7.404,4.031,0.03
0507_03_mesh_27.ply,77.949,137.468,11.175,6.64,3.533,0.019
0507_03_mesh_28.ply,71.276,200.148,29.16,4.174,3.865,0.037
0507_03_mesh_3.ply,18.263,161.572,14.227,6.537,2.043,0.016
0507_03_mesh_4.ply,40.502,248.715,12.976,10.754,5.217,0.03
0507_03_mesh_5.ply,64.312,190.237,20.053,6.509,2.996,0.021
0507_03_mesh_6.ply,65.185,146.979,19.017,4.131,3.414,0.016
0507_03_mesh_7.ply,1185.257,852.287,15.758,15.532,14.225,
0507_03_mesh_8.ply,18.932,182.565,11.298,9.081,3.229,0.018
0507_03_mesh_9.ply,100.114,166.798,18.826,6.001,4.334,0.029
