File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0609_12_mesh_11.ply,390.949,642.605,48.425,11.988,5.559,
0609_11_mesh_8.ply,344.301,364.036,22.58,8.078,5.599,
0609_08_mesh_13.ply,253.846,261.472,16.464,6.296,5.645,
0609_13_mesh_15.ply,332.589,408.273,35.975,9.172,5.708,
0609_08_mesh_22.ply,188.027,246.508,18.91,5.847,5.74,
0609_13_mesh_6.ply,272.984,273.737,16.503,5.912,5.757,
0609_08_mesh_9.ply,308.307,305.955,17.503,7.666,5.889,
0609_08_mesh_5.ply,336.949,294.998,14.977,7.663,5.915,
0609_12_mesh_13.ply,394.444,402.832,26.195,5.874,5.999,
0609_08_mesh_18.ply,351.497,305.007,15.107,7.976,6.013,
0609_12_mesh_5.ply,372.796,430.679,29.869,5.997,6.074,
0609_08_mesh_12.ply,303.421,297.649,17.746,8.899,6.13,
0609_07_mesh_6.ply,379.824,351.692,18.893,8.15,6.138,
0609_07_mesh_4.ply,873.334,1167.126,44.553,13.174,6.166,
0609_10_mesh_8.ply,524.778,555.42,39.811,6.824,6.17,
0609_13_mesh_9.ply,494.637,453.72,26.957,6.607,6.184,
0609_13_mesh_7.ply,276.007,387.289,31.533,11.83,6.211,
0609_13_mesh_18.ply,298.626,254.92,11.892,7.533,6.257,
0609_12_mesh_10.ply,597.066,475.555,22.65,7.811,6.287,
0609_13_mesh_2.ply,354.182,337.474,20.07,7.276,6.323,
0609_13_mesh_21.ply,500.128,478.198,24.339,11.917,6.414,
0609_13_mesh_8.ply,485.353,462.094,28.047,9.256,6.42,
0609_13_mesh_11.ply,338.082,335.35,22.154,8.602,6.455,
0609_07_mesh_11.ply,354.794,423.644,17.182,10.634,6.483,
0609_08_mesh_2.ply,371.877,342.086,15.912,10.25,6.491,
0609_13_mesh_5.ply,260.655,241.831,12.867,8.41,6.669,
0609_08_mesh_14.ply,739.307,592.277,23.705,16.358,6.822,
0609_12_mesh_14.ply,579.616,601.631,32.398,9.17,6.907,
0609_10_mesh_2.ply,1001.91,877.153,47.711,13.534,7.043,
0609_14_mesh_23.ply,256.665,240.571,11.109,8.135,7.073,
0609_11_mesh_11.ply,294.102,306.677,16.288,7.743,7.086,
0609_13_mesh_17.ply,684.716,563.227,27.56,10.405,7.259,
0609_11_mesh_9.ply,560.582,523.545,27.94,6.929,7.406,
0609_13_mesh_14.ply,699.328,564.123,29.151,8.463,7.53,
