Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0526_07.csv,0526_07_mesh_5.ply,56.665,111.458,8.991,6.161,4.288,0.02,352.9515574
0526_06.csv,0526_06_mesh_6.ply,4933.774,2022.866,59.179,20.57,12.738,1.734,351.455093
0526_07.csv,0526_07_mesh_8.ply,88.254,174.444,15.836,7.593,3.489,0.031,351.2588665
0526_10.csv,0526_10_mesh_5.ply,37.153,117.336,11.491,8.999,2.362,0.013,349.9044492
0526_12.csv,0526_12_mesh_11.ply,254.675,306.944,22.036,8.987,5.464,0.089,349.4650044
0526_11.csv,0526_11_mesh_6.ply,2486.542,1471.303,59.285,19.94,13.125,0.852,342.644524
0524_19.csv,0524_19_mesh_4.ply,67.19,129.817,13.555,4.66,3.335,0.023,342.3128442
0526_08.csv,0526_08_mesh_5.ply,1821.345,1183.133,36.813,15.124,9.693,0.619,339.8587308
0524_17.csv,0524_17_mesh_7.ply,3134.044,1746.654,72.502,15.521,11.56,1.065,339.8165437
0526_14.csv,0526_14_mesh_13.ply,68.227,133.795,12.368,5.887,3.823,0.023,337.1099418
0524_15.csv,0524_15_mesh_8.ply,83.484,172.426,14.103,5.797,3.953,0.028,335.3936084
0526_02.csv,0526_02_mesh_8.ply,45.108,100.643,14.363,6.707,2.857,0.015,332.5352487
0526_05.csv,0526_05_mesh_18.ply,394.966,649.966,51.61,10.371,11.568,0.128,324.0785283
0524_19.csv,0524_19_mesh_17.ply,281.796,362.898,26.484,8.318,5.999,0.091,322.9286434
0524_17.csv,0524_17_mesh_6.ply,2422.33,1239.151,35.672,17.217,12.298,0.782,322.8296723
0526_08.csv,0526_08_mesh_8.ply,1140.41,1078.777,66.027,16.798,8.512,0.368,322.690962
0524_15.csv,0524_15_mesh_3.ply,204.675,501.077,44.245,12.057,5.094,0.066,322.4624405
0524_22.csv,0524_22_mesh_18.ply,46.739,78.883,6.846,4.898,3.527,0.015,320.9311282
0524_19.csv,0524_19_mesh_19.ply,668.579,523.944,23.731,8.764,7.922,0.212,317.0904261
0526_13.csv,0526_13_mesh_12.ply,389.097,474.526,32.907,10.807,6.913,0.123,316.1165468
0524_21.csv,0524_21_mesh_3.ply,2370.118,1299.775,46.106,12.713,12.106,0.748,315.5961011
0526_13.csv,0526_13_mesh_4.ply,130.017,167.867,12.207,5.934,5.004,0.041,315.3433782
0524_21.csv,0524_21_mesh_6.ply,806.721,719.755,37.991,12.553,8.486,0.254,314.8548259
0526_08.csv,0526_08_mesh_7.ply,1270.893,885.372,45.526,9.6,8.565,0.4,314.7393211
0526_12.csv,0526_12_mesh_10.ply,203.448,214,13.681,6.64,6.668,0.064,314.5766977
0526_14.csv,0526_14_mesh_1.ply,625.028,877.289,77.017,23.51,11.15,0.196,313.5859513
0526_03.csv,0526_03_mesh_7.ply,12.781,83.299,10.501,6.879,1.743,0.004,312.9645568
0526_08.csv,0526_08_mesh_6.ply,965.204,637.27,23.146,14.302,8.767,0.302,312.8872238
0526_05.csv,0526_05_mesh_1.ply,28.866,111.183,9.008,6.458,3.043,0.009,311.7854916
0526_11.csv,0526_11_mesh_11.ply,182.935,235.316,17.464,6.262,5.142,0.057,311.5860825
0524_19.csv,0524_19_mesh_3.ply,272.799,376.508,34.739,7.808,5.787,0.085,311.5847199
0524_19.csv,0524_19_mesh_7.ply,714.527,915.541,61.353,30.933,6.828,0.222,310.6950472
0526_06.csv,0526_06_mesh_4.ply,1572.596,1238.117,68.962,12.026,7.964,0.485,308.4072451
0524_21.csv,0524_21_mesh_11.ply,1516.288,872.233,33.725,14.094,12.182,0.466,307.3294783
0526_07.csv,0526_07_mesh_15.ply,72.989,125.494,13.377,5.655,3.311,0.022,301.4152818
0526_13.csv,0526_13_mesh_3.ply,1179.609,759.299,35.75,9.851,8.574,0.354,300.0994397
0526_08.csv,0526_08_mesh_4.ply,1779.586,1203.062,54.091,8.555,8.144,0.534,300.0697915
