Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0423_14.csv,0423_14_mesh_23.ply,138.309,267.562,31.258,7.821,6.295,0.035
0423_15.csv,0423_15_mesh_13.ply,181.625,217.73,13.945,6.266,4.646,0.035
0423_17.csv,0423_17_mesh_23.ply,138.529,269.453,30.532,10.618,3.766,0.035
0423_21.csv,0423_21_mesh_10.ply,120.502,205.034,18.54,8.17,4.795,0.035
0423_26.csv,0423_26_mesh_22.ply,124.233,215.074,27.553,8.476,4.219,0.035
0424_08.csv,0424_08_mesh_10.ply,90.769,201.908,12.207,9.752,3.781,0.035
0422_04.csv,0422_04_mesh_17.ply,105.947,152.907,12.455,4.418,3.969,0.036
0423_17.csv,0423_17_mesh_27.ply,50.785,136.997,17.843,6.947,3.924,0.036
0424_02.csv,0424_02_mesh_15.ply,118.156,259.814,36.055,4.388,3.696,0.036
0424_02.csv,0424_02_mesh_2.ply,145.467,253.995,31.376,4.946,4.612,0.036
0424_08.csv,0424_08_mesh_9.ply,126.135,210.259,24.482,5.41,3.183,0.036
0421_01.csv,0421_01_mesh_8.ply,92.363,316.19,48.213,10.439,5.179,0.037
0422_08.csv,0422_08_mesh_12.ply,150.53,283.478,33.856,7.213,3.456,0.037
0422_10.csv,0422_10_mesh_1.ply,121.441,244.555,23.124,6.907,4.499,0.037
0422_10.csv,0422_10_mesh_20.ply,108.378,162.133,14.408,6.238,4.286,0.037
0422_12.csv,0422_12_mesh_2.ply,224.384,253.994,44.8,19.072,4.135,0.037
0422_12.csv,0422_12_mesh_5.ply,15.294,114.968,16.122,3.861,3.315,0.037
0423_08.csv,0423_08_mesh_24.ply,125.975,192.418,16.311,7.507,3.564,0.037
0423_10.csv,0423_10_mesh_1.ply,115.47,230.702,27.223,9.427,5.098,0.037
0423_11.csv,0423_11_mesh_16.ply,99.695,160.941,20.25,5.0,3.983,0.037
0423_22.csv,0423_22_mesh_12.ply,152.338,390.691,53.472,15.812,12.251,0.037
0424_08.csv,0424_08_mesh_5.ply,124.808,273.943,40.695,5.059,4.979,0.037
0424_08.csv,0424_08_mesh_8.ply,107.024,185.882,17.476,6.93,4.534,0.037
0422_02.csv,0422_02_mesh_11.ply,121.797,175.689,15.879,5.433,4.051,0.038
0423_05.csv,0423_05_mesh_6.ply,120.728,185.223,16.344,4.123,4.585,0.038
0423_10.csv,0423_10_mesh_2.ply,124.136,200.622,20.237,5.235,3.924,0.038
0423_25.csv,0423_25_mesh_8.ply,116.163,199.318,22.518,4.253,3.119,0.038
0424_02.csv,0424_02_mesh_5.ply,147.669,258.783,31.356,6.001,3.622,0.038
0422_10.csv,0422_10_mesh_4.ply,93.735,277.75,43.556,8.092,5.447,0.039
0422_10.csv,0422_10_mesh_7.ply,111.802,211.452,23.133,6.435,8.059,0.039
0422_11.csv,0422_11_mesh_8.ply,100.343,244.915,41.0,10.267,3.878,0.039
0423_13.csv,0423_13_mesh_5.ply,177.306,419.26,51.467,15.138,3.718,0.039
0423_18.csv,0423_18_mesh_20.ply,120.283,249.217,34.411,7.494,6.89,0.039
0423_25.csv,0423_25_mesh_10.ply,68.655,148.73,19.881,4.817,3.716,0.039
0424_02.csv,0424_02_mesh_13.ply,132.354,258.287,34.04,7.866,6.121,0.039
0424_09.csv,0424_09_mesh_22.ply,117.582,195.53,14.707,6.078,5.733,0.039
0423_18.csv,0423_18_mesh_17.ply,57.915,301.057,26.469,12.631,6.457,0.04
0422_04.csv,0422_04_mesh_20.ply,161.673,241.799,23.445,5.421,3.969,0.041
0422_04.csv,0422_04_mesh_3.ply,57.957,225.746,37.142,7.444,9.466,0.041
0423_17.csv,0423_17_mesh_32.ply,123.474,195.287,14.248,5.113,6.264,0.041
0423_21.csv,0423_21_mesh_5.ply,162.153,248.945,21.461,6.361,5.568,0.041
0424_02.csv,0424_02_mesh_8.ply,169.897,290.672,31.23,10.796,5.975,0.041
0422_08.csv,0422_08_mesh_8.ply,119.264,205.028,23.455,6.876,3.463,0.042
0422_09.csv,0422_09_mesh_10.ply,44.784,166.654,29.792,9.183,2.582,0.042
0422_09.csv,0422_09_mesh_6.ply,98.31,274.233,47.465,6.482,6.562,0.042
0423_21.csv,0423_21_mesh_12.ply,113.789,256.44,24.024,12.853,10.226,0.042
0423_21.csv,0423_21_mesh_15.ply,156.401,215.305,11.197,6.562,4.771,0.042
0423_21.csv,0423_21_mesh_8.ply,131.071,274.206,28.819,5.016,6.643,0.042
0424_03.csv,0424_03_mesh_11.ply,133.234,213.727,18.038,5.405,3.859,0.042
0424_03.csv,0424_03_mesh_13.ply,166.455,438.373,40.855,19.243,9.173,0.042
0422_10.csv,0422_10_mesh_13.ply,161.146,239.343,22.37,8.395,3.62,0.043
