Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0506_09.csv,0506_09_mesh_3.ply,16.664,63.324,8.619,5.571,2.137,0.01,600.0960154
0506_12.csv,0506_12_mesh_28.ply,6.695,86.961,15.045,5.053,1.354,0.004,597.4607916
0506_12.csv,0506_12_mesh_27.ply,45.73,170.794,13.39,8.834,3.375,0.027,590.4220424
0506_12.csv,0506_12_mesh_26.ply,13.595,113.946,12.254,6.206,1.373,0.008,588.4516366
0507_08.csv,0507_08_mesh_14.ply,15.369,108.087,9.235,7.014,3.732,0.009,585.5943783
0507_07.csv,0507_07_mesh_9.ply,96.156,237.178,10.006,11.223,5.894,0.056,582.3869545
0506_12.csv,0506_12_mesh_14.ply,25.854,148.792,9.594,7.971,4.108,0.015,580.1810165
0507_06.csv,0507_06_mesh_12.ply,2025.047,1234.429,40.49,13.1,11.456,1.161,573.3200266
0507_12.csv,0507_12_mesh_28.ply,43.947,300.646,18.32,7.98,5.5,0.025,568.8670444
0507_12.csv,0507_12_mesh_19.ply,87.009,182.336,17.736,6.199,3.897,0.049,563.1601329
0506_12.csv,0506_12_mesh_24.ply,10.811,64.736,6.47,5.094,4.744,0.006,554.9902877
0507_08.csv,0507_08_mesh_27.ply,9.287,75.521,8.605,5.476,2.529,0.005,538.3869926
0507_10.csv,0507_10_mesh_5.ply,26.063,222.353,17.229,8.543,3.831,0.014,537.1599586
0508_01.csv,0508_01_mesh_24.ply,24.508,168.01,12.407,8.541,2.495,0.013,530.4390403
0507_08.csv,0507_08_mesh_24.ply,17.19,79.268,7.301,5.713,2.8,0.009,523.5602094
0506_02.csv,0506_02_mesh_6.ply,13.418,100.928,11.67,4.734,1.667,0.007,521.6872857
0507_08.csv,0507_08_mesh_21.ply,36.444,149.73,10.537,7.283,5.229,0.019,521.3478213
0507_03.csv,0507_03_mesh_28.ply,71.276,200.148,29.16,4.174,3.865,0.037,519.1088164
0506_09.csv,0506_09_mesh_2.ply,21.194,74.257,8.817,5.01,2.016,0.011,519.0148155
0507_01.csv,0507_01_mesh_4.ply,1141.326,1297.308,50.075,9.417,9.211,0.592,518.6949215
0507_11.csv,0507_11_mesh_2.ply,1918.086,1630.334,73.406,19.019,11.466,0.99,516.1395266
0506_03.csv,0506_03_mesh_10.ply,4260.391,2444.236,95.696,11.92,11.859,2.186,513.0984457
0506_10.csv,0506_10_mesh_9.ply,698.623,807.887,44.992,17.536,9.258,0.358,512.4366074
0507_12.csv,0507_12_mesh_27.ply,37.226,212.499,15.773,8.016,3.346,0.019,510.3959598
0506_12.csv,0506_12_mesh_22.ply,11.843,81.677,13.262,4.592,1.603,0.006,506.6283881
0507_01.csv,0507_01_mesh_3.ply,1576.996,1427.482,54.636,12.896,9.727,0.797,505.3912629
0506_08.csv,0506_08_mesh_13.ply,63.647,138.499,12.818,6.715,3.933,0.032,502.7731079
0506_05.csv,0506_05_mesh_1.ply,16.011,135.415,13.07,6.488,1.655,0.008,499.6564862
0507_10.csv,0507_10_mesh_8.ply,50.454,131.063,15.744,5.162,4.052,0.025,495.5008523
0508_02.csv,0508_02_mesh_7.ply,18.197,99.652,8.233,6.715,2.635,0.009,494.5870198
0507_08.csv,0507_08_mesh_29.ply,20.445,132.784,14.444,7.847,2.882,0.01,489.1171436
0506_07.csv,0506_07_mesh_9.ply,1239.328,1115.291,40.806,15.763,9.635,0.606,488.9746701
0507_07.csv,0507_07_mesh_3.ply,41.318,170.033,21.811,5.761,3.124,0.02,484.0505349
0507_01.csv,0507_01_mesh_9.ply,244.337,359.178,18.872,8.474,6.05,0.118,482.9395466
0508_02.csv,0508_02_mesh_11.ply,20.713,107.422,7.638,7.862,1.847,0.01,482.7885869
0507_02.csv,0507_02_mesh_18.ply,129.021,189.372,11.897,9.293,4.932,0.062,480.5419273
0507_08.csv,0507_08_mesh_5.ply,12.583,107.542,12.437,6.112,1.765,0.006,476.8338234
0508_01.csv,0508_01_mesh_8.ply,37.947,199.839,10.064,7.986,4.486,0.018,474.3457981
0507_10.csv,0507_10_mesh_16.ply,29.605,152.333,13.598,8.469,3.012,0.014,472.8930924
0506_11.csv,0506_11_mesh_18.ply,103.921,366.128,19.794,8.886,6.226,0.049,471.5120139
0506_08.csv,0506_08_mesh_11.ply,731.305,578.069,29.662,14.463,9.27,0.343,469.024552
0508_02.csv,0508_02_mesh_2.ply,19.265,92.675,7.675,6.052,4.143,0.009,467.1684402
0506_01.csv,0506_01_mesh_13.ply,34.384,159.244,13.058,7.51,4.014,0.016,465.3327129
0507_02.csv,0507_02_mesh_3.ply,1257.16,1534.234,83.877,43.095,11.874,0.578,459.7664577
0507_02.csv,0507_02_mesh_11.ply,296.174,389.819,34.325,8.954,5.514,0.136,459.1895305
0506_07.csv,0506_07_mesh_12.ply,150.618,228.188,18.528,5.638,4.322,0.069,458.1125762
0507_01.csv,0507_01_mesh_11.ply,2756.399,1883.99,73.732,18.199,13.552,1.252,454.2158084
0506_09.csv,0506_09_mesh_1.ply,6.616,78.383,9.547,5.943,1.683,0.003,453.4461911
