File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0423_05_mesh_1.ply,820.370,1560.125,89.894,55.441,48.086,0.390
0423_05_mesh_10.ply,839.052,874.920,51.946,8.529,5.857,0.221
0423_05_mesh_11.ply,428.153,478.475,32.548,7.683,6.048,0.122
0423_05_mesh_12.ply,170.090,303.858,32.548,5.524,3.806,0.059
0423_05_mesh_13.ply,170.265,189.305,10.733,6.437,6.198,0.066
0423_05_mesh_14.ply,1348.699,1018.583,44.489,12.672,12.947,0.408
0423_05_mesh_15.ply,794.312,1118.015,70.019,29.954,10.847,0.459
0423_05_mesh_16.ply,342.779,461.908,36.274,8.200,5.326,0.107
0423_05_mesh_2.ply,584.699,514.206,33.511,9.547,6.756,0.196
0423_05_mesh_3.ply,206.501,254.691,18.399,6.334,4.923,0.083
0423_05_mesh_4.ply,1281.895,848.015,17.999,16.366,13.614,
0423_05_mesh_5.ply,463.419,460.114,29.126,6.399,5.824,0.102
0423_05_mesh_6.ply,120.728,185.223,16.344,4.123,4.585,0.038
0423_05_mesh_7.ply,308.847,422.807,34.915,9.908,6.279,0.104
0423_05_mesh_8.ply,264.535,402.346,32.648,15.545,7.377,0.088
0423_05_mesh_9.ply,669.253,681.318,42.854,7.141,6.486,0.214
