File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0422_04_mesh_1.ply,180.986,265.849,25.751,6.168,5.433,0.053
0422_04_mesh_10.ply,98.153,212.022,27.735,8.394,4.666,0.023
0422_04_mesh_11.ply,119.162,261.024,35.594,7.884,3.370,0.023
0422_04_mesh_12.ply,45.837,166.678,32.956,8.396,3.381,0.023
0422_04_mesh_13.ply,112.208,163.937,14.839,5.984,3.431,0.023
0422_04_mesh_14.ply,44.843,96.524,10.556,4.300,3.240,0.016
0422_04_mesh_15.ply,34.646,118.296,22.281,7.577,3.180,0.010
0422_04_mesh_16.ply,110.910,208.840,23.277,7.719,3.584,0.028
0422_04_mesh_17.ply,105.947,152.907,12.455,4.418,3.969,0.036
0422_04_mesh_18.ply,42.884,93.883,12.599,5.249,3.291,0.014
0422_04_mesh_19.ply,167.137,299.584,24.614,9.684,6.500,0.053
0422_04_mesh_2.ply,201.999,397.481,36.950,10.182,8.243,0.069
0422_04_mesh_20.ply,161.673,241.799,23.445,5.421,3.969,0.041
0422_04_mesh_21.ply,1159.257,769.369,14.760,14.961,13.536,0.014
0422_04_mesh_22.ply,147.306,370.481,52.010,8.556,4.006,0.045
0422_04_mesh_23.ply,48.319,106.975,14.528,4.119,3.345,0.014
0422_04_mesh_24.ply,100.657,241.692,36.674,8.281,3.860,0.029
0422_04_mesh_25.ply,113.869,330.047,53.888,9.757,5.224,0.031
0422_04_mesh_3.ply,57.957,225.746,37.142,7.444,9.466,0.041
0422_04_mesh_4.ply,123.888,233.782,28.907,8.587,3.696,
0422_04_mesh_5.ply,104.371,245.834,36.116,4.868,3.223,0.028
0422_04_mesh_6.ply,71.868,160.048,19.959,4.668,3.144,0.021
0422_04_mesh_7.ply,65.492,115.825,10.612,4.089,3.857,0.011
0422_04_mesh_8.ply,70.508,143.016,17.846,3.431,3.222,0.014
0422_04_mesh_9.ply,141.420,301.138,43.546,7.757,3.956,0.026
