File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0422_11_mesh_1.ply,60.422,150.322,13.965,5.729,4.257,0.018
0422_11_mesh_10.ply,14.889,98.782,21.468,5.493,2.116,0.006
0422_11_mesh_11.ply,31.915,80.830,13.203,3.816,2.237,0.009
0422_11_mesh_12.ply,51.627,89.106,8.392,4.421,3.781,0.011
0422_11_mesh_13.ply,77.304,154.622,22.397,2.962,3.347,0.029
0422_11_mesh_14.ply,56.397,145.525,19.657,11.413,3.390,0.020
0422_11_mesh_15.ply,95.524,132.124,11.437,4.146,3.591,0.030
0422_11_mesh_16.ply,81.853,213.279,37.612,4.927,4.294,0.027
0422_11_mesh_17.ply,66.304,143.616,20.684,3.931,2.875,0.023
0422_11_mesh_18.ply,56.162,110.386,12.743,6.324,3.414,0.019
0422_11_mesh_19.ply,103.986,145.280,12.968,3.873,5.739,0.030
0422_11_mesh_2.ply,63.134,170.281,28.054,7.000,3.352,0.015
0422_11_mesh_20.ply,55.468,273.450,63.033,11.823,8.456,0.014
0422_11_mesh_21.ply,58.403,97.345,8.814,4.423,4.757,0.015
0422_11_mesh_22.ply,102.093,197.925,18.434,8.942,4.234,0.023
0422_11_mesh_3.ply,1318.550,863.990,16.901,14.362,14.926,
0422_11_mesh_4.ply,74.950,160.238,20.185,7.520,5.117,0.023
0422_11_mesh_5.ply,82.702,153.764,19.215,4.323,2.692,0.020
0422_11_mesh_6.ply,79.254,192.230,33.182,9.243,3.245,0.025
0422_11_mesh_7.ply,101.270,319.031,48.384,19.322,3.989,0.027
0422_11_mesh_8.ply,100.343,244.915,41.000,10.267,3.878,0.039
0422_11_mesh_9.ply,64.616,160.790,26.012,7.880,3.041,0.022
