File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0422_10_mesh_1.ply,121.441,244.555,23.124,6.907,4.499,0.037
0422_10_mesh_10.ply,134.979,287.948,28.394,6.231,3.96,0.049
0422_10_mesh_11.ply,69.355,145.541,17.176,4.159,3.285,0.024
0422_10_mesh_12.ply,72.019,175.856,23.079,7.716,4.015,0.024
0422_10_mesh_13.ply,161.146,239.343,22.37,8.395,3.62,0.043
0422_10_mesh_14.ply,60.651,214.059,46.276,12.782,4.888,0.021
0422_10_mesh_15.ply,435.221,654.285,57.403,14.067,10.292,0.169
0422_10_mesh_16.ply,69.46,142.981,12.921,4.76,2.993,0.03
0422_10_mesh_17.ply,127.765,259.842,28.466,11.956,3.783,0.05
0422_10_mesh_18.ply,187.384,351.145,39.195,8.601,5.45,0.079
0422_10_mesh_19.ply,199.384,320.944,25.394,16.334,6.923,0.062
0422_10_mesh_2.ply,35.091,141.327,25.215,4.965,3.333,0.02
0422_10_mesh_20.ply,108.378,162.133,14.408,6.238,4.286,0.037
0422_10_mesh_21.ply,19.099,102.542,17.55,9.543,2.122,0.008
0422_10_mesh_22.ply,158.148,291.317,22.847,9.788,4.637,0.055
0422_10_mesh_23.ply,1263.699,789.174,17.26,12.869,14.293,
0422_10_mesh_3.ply,89.176,205.695,25.8,7.504,3.997,0.024
0422_10_mesh_4.ply,93.735,277.75,43.556,8.092,5.447,0.039
0422_10_mesh_5.ply,56.511,139.198,20.01,3.769,3.217,0.016
0422_10_mesh_6.ply,38.433,205.574,23.66,5.488,2.822,0.023
0422_10_mesh_7.ply,111.802,211.452,23.133,6.435,8.059,0.039
0422_10_mesh_8.ply,158.998,206.3,15.585,7.635,4.178,0.055
0422_10_mesh_9.ply,51.756,133.011,23.361,3.553,2.697,0.025
