File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0423_25_mesh_1.ply,1066.090,1136.587,54.847,43.171,20.441,0.325
0423_25_mesh_10.ply,68.655,148.730,19.881,4.817,3.716,0.039
0423_25_mesh_11.ply,630.935,892.806,60.189,29.046,12.909,0.258
0423_25_mesh_12.ply,332.516,406.917,31.305,7.060,5.098,0.089
0423_25_mesh_13.ply,180.151,276.975,27.624,7.095,3.769,0.055
0423_25_mesh_14.ply,198.342,361.931,36.721,13.448,6.084,0.083
0423_25_mesh_15.ply,1203.818,849.336,18.091,19.158,13.488,
0423_25_mesh_2.ply,414.965,695.326,62.490,11.391,7.701,0.142
0423_25_mesh_3.ply,338.343,411.009,29.938,12.553,10.237,0.117
0423_25_mesh_4.ply,108.882,344.899,63.021,10.922,5.373,0.086
0423_25_mesh_5.ply,190.884,428.151,51.440,30.060,10.136,0.091
0423_25_mesh_6.ply,142.652,279.237,34.781,12.106,5.002,0.045
0423_25_mesh_7.ply,80.779,113.962,9.848,4.586,3.966,0.020
0423_25_mesh_8.ply,116.163,199.318,22.518,4.253,3.119,0.038
0423_25_mesh_9.ply,137.419,327.850,45.233,14.015,7.215,0.048
