File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0424_09_mesh_1.ply,135.813,310.168,24.801,5.606,3.835,0.026
0424_09_mesh_10.ply,70.097,192.328,27.659,6.899,3.455,0.017
0424_09_mesh_11.ply,72.623,152.944,15.080,6.367,3.117,0.014
0424_09_mesh_12.ply,66.847,220.813,28.116,6.435,5.199,0.017
0424_09_mesh_13.ply,112.841,288.247,32.279,6.485,3.922,0.026
0424_09_mesh_14.ply,42.016,197.473,23.445,14.161,4.742,0.013
0424_09_mesh_15.ply,69.484,155.858,13.697,4.600,3.455,0.017
0424_09_mesh_16.ply,84.522,204.521,26.674,10.833,4.612,0.021
0424_09_mesh_17.ply,128.664,250.360,27.629,4.769,3.278,0.034
0424_09_mesh_18.ply,147.979,398.082,37.034,19.833,4.279,0.032
0424_09_mesh_19.ply,64.333,166.424,23.332,4.065,2.813,0.015
0424_09_mesh_2.ply,37.940,224.284,22.288,9.683,3.981,0.006
0424_09_mesh_20.ply,106.157,272.291,39.402,6.930,5.338,0.027
0424_09_mesh_21.ply,464.076,441.866,24.185,10.570,5.952,0.140
0424_09_mesh_22.ply,117.582,195.530,14.707,6.078,5.733,0.039
0424_09_mesh_23.ply,66.982,143.756,16.510,3.878,2.600,0.015
0424_09_mesh_24.ply,289.057,398.632,27.024,11.387,5.503,0.078
0424_09_mesh_25.ply,70.545,203.833,18.749,6.383,3.448,0.014
0424_09_mesh_26.ply,140.821,258.584,23.088,9.942,5.584,0.033
0424_09_mesh_27.ply,143.511,444.138,33.415,23.242,4.701,0.046
0424_09_mesh_28.ply,62.553,112.147,11.480,4.516,3.441,0.016
0424_09_mesh_29.ply,88.860,219.315,30.246,5.680,4.139,0.019
0424_09_mesh_3.ply,57.651,167.099,16.880,6.741,3.511,0.016
0424_09_mesh_30.ply,85.504,211.938,27.767,7.229,4.012,0.016
0424_09_mesh_31.ply,67.326,147.944,13.675,4.767,2.956,0.016
0424_09_mesh_32.ply,35.550,131.194,12.617,8.197,3.024,0.008
0424_09_mesh_4.ply,68.236,233.437,18.169,8.617,4.175,0.021
0424_09_mesh_5.ply,133.356,286.656,22.331,8.747,5.191,0.044
0424_09_mesh_6.ply,1190.510,861.677,15.951,14.266,12.285,
0424_09_mesh_7.ply,102.569,296.600,32.816,4.300,3.371,0.026
0424_09_mesh_8.ply,45.788,150.648,14.063,6.300,4.061,0.014
0424_09_mesh_9.ply,99.131,311.863,44.249,6.911,3.948,0.018
