File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0423_17_mesh_1.ply,140.611,376.228,46.695,16.469,3.741,0.033
0423_17_mesh_10.ply,78.351,117.360,10.293,6.056,3.796,0.019
0423_17_mesh_11.ply,18.827,122.246,12.884,5.829,1.726,0.012
0423_17_mesh_12.ply,43.116,130.478,27.926,4.896,2.382,0.006
0423_17_mesh_13.ply,81.238,144.946,18.301,5.200,3.828,0.022
0423_17_mesh_14.ply,59.953,146.374,22.108,4.364,3.102,0.015
0423_17_mesh_15.ply,93.388,217.766,36.005,5.132,3.411,0.022
0423_17_mesh_16.ply,97.163,162.298,16.127,6.866,3.709,0.032
0423_17_mesh_17.ply,43.537,112.529,18.308,4.951,2.944,0.009
0423_17_mesh_18.ply,82.804,230.217,28.478,10.146,9.416,0.027
0423_17_mesh_19.ply,68.065,132.871,9.947,7.125,3.713,0.007
0423_17_mesh_2.ply,65.678,206.099,34.916,6.235,3.069,0.014
0423_17_mesh_20.ply,18.484,106.585,11.037,5.543,2.409,0.005
0423_17_mesh_21.ply,63.947,184.580,40.493,3.299,2.959,0.019
0423_17_mesh_22.ply,65.805,156.941,22.395,6.252,3.191,0.030
0423_17_mesh_23.ply,138.529,269.453,30.532,10.618,3.766,0.035
0423_17_mesh_24.ply,192.062,402.889,45.686,7.398,4.575,0.047
0423_17_mesh_25.ply,80.588,274.005,36.929,6.482,3.059,0.021
0423_17_mesh_26.ply,1319.280,826.397,22.464,14.952,13.747,
0423_17_mesh_27.ply,50.785,136.997,17.843,6.947,3.924,0.036
0423_17_mesh_28.ply,17.406,169.059,12.675,7.646,2.996,0.017
0423_17_mesh_29.ply,82.177,175.051,13.101,6.059,3.754,0.017
0423_17_mesh_3.ply,154.404,356.363,42.299,6.609,10.150,0.043
0423_17_mesh_30.ply,83.929,199.524,19.526,6.028,4.255,0.017
0423_17_mesh_31.ply,56.191,117.764,13.679,3.562,3.312,0.013
0423_17_mesh_32.ply,123.474,195.287,14.248,5.113,6.264,0.041
0423_17_mesh_4.ply,68.530,168.054,22.346,7.252,4.759,0.020
0423_17_mesh_5.ply,44.016,129.009,15.322,3.687,2.606,0.011
0423_17_mesh_6.ply,58.707,124.975,12.982,5.808,3.223,0.019
0423_17_mesh_7.ply,201.806,528.581,62.979,18.553,6.633,0.047
0423_17_mesh_8.ply,62.833,129.786,13.196,3.635,3.578,0.013
0423_17_mesh_9.ply,117.939,219.264,26.823,7.498,3.636,0.032
