File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0422_12_mesh_1.ply,75.735,60.494,17.863,7.908,3.294,0.034
0422_12_mesh_10.ply,11.959,54.860,10.225,6.744,2.520,0.012
0422_12_mesh_11.ply,2526.523,656.821,17.459,17.708,14.936,
0422_12_mesh_12.ply,52.291,130.615,25.342,5.663,5.771,0.033
0422_12_mesh_13.ply,11.579,45.620,13.529,2.489,2.128,0.008
0422_12_mesh_14.ply,270.515,188.416,41.427,5.860,3.542,0.046
0422_12_mesh_15.ply,24.944,69.477,13.053,2.908,2.988,0.015
0422_12_mesh_16.ply,72.412,70.474,19.806,7.372,2.828,0.014
0422_12_mesh_17.ply,17.439,56.835,12.164,6.120,2.435,0.014
0422_12_mesh_18.ply,149.891,56.610,6.269,4.844,3.935,0.020
0422_12_mesh_19.ply,96.029,62.169,15.465,5.650,3.061,0.016
0422_12_mesh_2.ply,224.384,253.994,44.800,19.072,4.135,0.037
0422_12_mesh_20.ply,3.656,118.753,34.279,6.085,2.866,0.015
0422_12_mesh_21.ply,97.057,48.561,7.001,6.408,2.395,0.011
0422_12_mesh_22.ply,72.742,82.446,17.371,5.146,2.988,0.010
0422_12_mesh_23.ply,85.348,79.556,12.701,10.662,6.303,0.011
0422_12_mesh_3.ply,28.980,59.196,11.678,5.091,2.475,0.009
0422_12_mesh_4.ply,72.354,120.410,15.370,4.806,3.743,0.032
0422_12_mesh_5.ply,15.294,114.968,16.122,3.861,3.315,0.037
0422_12_mesh_6.ply,29.523,45.775,8.053,4.299,3.740,0.013
0422_12_mesh_7.ply,768.138,71.341,9.377,7.608,3.828,0.018
0422_12_mesh_8.ply,51.322,49.607,14.888,5.538,2.024,0.008
0422_12_mesh_9.ply,73.115,87.127,18.602,7.432,2.916,0.022
