File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0423_22_mesh_1.ply,60.334,168.874,26.389,7.516,3.434,0.013
0423_22_mesh_10.ply,67.089,166.427,24.560,5.870,4.534,0.018
0423_22_mesh_11.ply,57.626,128.607,16.227,7.566,3.236,0.012
0423_22_mesh_12.ply,152.338,390.691,53.472,15.812,12.251,0.037
0423_22_mesh_13.ply,88.113,155.299,16.806,4.589,4.488,0.009
0423_22_mesh_14.ply,52.133,139.447,17.604,8.406,4.132,0.012
0423_22_mesh_15.ply,39.077,71.796,7.755,3.535,3.027,0.008
0423_22_mesh_2.ply,51.351,131.643,17.072,5.801,3.354,0.010
0423_22_mesh_3.ply,15.553,62.543,15.491,2.516,1.936,0.001
0423_22_mesh_4.ply,1295.695,833.457,15.300,15.940,14.415,
0423_22_mesh_5.ply,59.769,160.852,26.066,5.575,3.698,0.012
0423_22_mesh_6.ply,27.748,97.898,22.811,4.704,2.417,0.005
0423_22_mesh_7.ply,38.617,97.991,13.984,8.648,2.427,0.008
0423_22_mesh_8.ply,30.044,102.766,24.059,5.343,2.266,0.006
0423_22_mesh_9.ply,32.339,73.657,10.825,3.192,2.431,0.008
