File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0423_13_mesh_1.ply,398.311,605.744,50.309,16.775,6.059,0.109
0423_13_mesh_10.ply,394.496,586.621,68.218,8.562,6.194,0.111
0423_13_mesh_11.ply,543.78,830.438,72.15,26.898,12.435,0.145
0423_13_mesh_12.ply,110.746,261.043,44.903,10.358,3.71,0.026
0423_13_mesh_13.ply,109.091,204.977,25.72,7.535,6.394,0.035
0423_13_mesh_14.ply,220.886,278.336,24.009,7.505,5.082,0.057
0423_13_mesh_15.ply,1248.798,926.448,15.953,14.951,13.681,
0423_13_mesh_16.ply,36.344,116.3,22.623,3.851,2.351,0.035
0423_13_mesh_17.ply,122.795,300.774,50.671,7.167,5.617,0.048
0423_13_mesh_18.ply,146.846,321.693,41.034,16.863,9.319,0.044
0423_13_mesh_19.ply,82.314,191.5,28.847,6.089,2.816,0.022
0423_13_mesh_2.ply,177.7,383.524,42.124,17.808,4.106,0.05
0423_13_mesh_20.ply,61.5,178.688,36.976,4.465,3.185,0.018
0423_13_mesh_3.ply,85.118,170.717,20.412,8.907,5.086,0.029
0423_13_mesh_4.ply,56.238,166.672,34.367,4.017,3.691,0.013
0423_13_mesh_5.ply,177.306,419.26,51.467,15.138,3.718,0.039
0423_13_mesh_6.ply,125.11,184.092,19.884,7.38,5.405,0.044
0423_13_mesh_7.ply,84.342,173.791,25.213,5.45,4.172,0.02
0423_13_mesh_8.ply,93.115,199.757,29.842,7.778,4.195,0.021
0423_13_mesh_9.ply,54.237,155.231,29.363,5.607,2.282,0.013
