File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0526_06_mesh_1.ply,809.902,846.531,59.235,13.608,6.288,0.207
0526_06_mesh_10.ply,1325.425,899.595,15.949,17.958,14.261,
0526_06_mesh_2.ply,707.479,576.087,26.967,11.478,7.168,0.189
0526_06_mesh_3.ply,324.418,422.807,31.935,6.573,5.359,0.078
0526_06_mesh_4.ply,1572.596,1238.117,68.962,12.026,7.964,0.485
0526_06_mesh_5.ply,1133.255,841.177,38.845,10.270,8.090,0.250
0526_06_mesh_6.ply,4933.774,2022.866,59.179,20.570,12.738,1.734
0526_06_mesh_7.ply,507.724,645.111,47.012,23.679,10.531,0.126
0526_06_mesh_8.ply,1510.900,1268.971,60.045,14.662,13.476,0.566
0526_06_mesh_9.ply,1293.540,1024.149,51.400,7.972,8.147,0.336
