File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0526_14_mesh_1.ply,625.028,877.289,77.017,23.51,11.15,0.196
0526_14_mesh_10.ply,367.85,574.697,54.714,6.46,5.259,0.088
0526_14_mesh_11.ply,22.092,118.828,14.745,6.182,2.376,0.012
0526_14_mesh_12.ply,233.539,398.996,42.997,7.208,6.53,0.068
0526_14_mesh_13.ply,68.227,133.795,12.368,5.887,3.823,0.023
0526_14_mesh_15.ply,213.766,229.774,15.065,8.182,6.0,0.064
0526_14_mesh_14.ply,36.697,83.791,10.878,4.87,2.201,0.011
0526_14_mesh_2.ply,335.355,347.911,22.311,8.63,6.152,0.081
0526_14_mesh_3.ply,64.18,149.222,20.69,5.404,2.844,0.014
0526_14_mesh_4.ply,33.577,84.752,12.536,3.204,2.215,0.008
0526_14_mesh_5.ply,17.897,98.529,9.952,6.549,3.564,0.009
0526_14_mesh_6.ply,39.767,93.672,8.386,6.82,2.298,0.017
0526_14_mesh_7.ply,20.795,67.883,7.746,5.183,1.972,0.005
0526_14_mesh_8.ply,277.355,335.111,24.489,6.338,5.254,0.058
0526_14_mesh_9.ply,1237.968,785.011,13.656,16.261,13.575,
