File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0526_04_mesh_1.ply,365.581,408.201,28.873,9.246,6.239,0.093
0526_04_mesh_10.ply,304.882,347.136,24.068,5.508,5.952,0.058
0526_04_mesh_11.ply,517.477,508.933,27.220,10.347,9.603,0.126
0526_04_mesh_12.ply,614.504,712.715,52.557,11.370,6.437,0.138
0526_04_mesh_13.ply,507.140,494.243,32.039,7.025,5.463,0.120
0526_04_mesh_14.ply,197.154,222.835,16.418,5.798,4.745,0.036
0526_04_mesh_15.ply,289.894,394.877,35.440,6.259,4.429,0.066
0526_04_mesh_16.ply,223.522,224.142,9.773,9.198,6.145,0.056
0526_04_mesh_17.ply,2385.579,1337.734,51.333,14.668,11.461,0.895
0526_04_mesh_18.ply,727.862,589.434,30.005,12.117,6.718,0.180
0526_04_mesh_19.ply,213.374,371.246,34.226,8.978,5.842,0.060
0526_04_mesh_2.ply,493.460,401.745,17.581,8.861,7.956,0.130
0526_04_mesh_3.ply,75.384,200.659,21.802,6.470,4.941,0.022
0526_04_mesh_4.ply,667.621,759.038,56.804,9.949,5.509,0.160
0526_04_mesh_5.ply,92.861,220.906,35.240,7.335,3.596,0.034
0526_04_mesh_6.ply,1179.533,785.923,14.183,14.666,13.509,
0526_04_mesh_7.ply,267.657,332.902,21.443,6.965,5.382,0.055
0526_04_mesh_8.ply,1013.808,1000.633,62.096,9.568,8.951,0.186
0526_04_mesh_9.ply,577.746,688.475,52.054,12.603,6.417,0.159
