File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0827_07_mesh_1.ply,447.085,2196.489,57.587,21.514,17.513,
0827_07_mesh_2.ply,169.496,737.459,34.875,13.227,7.803,
0827_07_mesh_3.ply,821.193,1591.089,52.871,22.937,13.886,
0827_07_mesh_4.ply,827.112,3926.315,60.547,34.662,17.600,
0827_07_mesh_5.ply,642.417,2831.028,56.349,35.691,12.047,
0827_07_mesh_6.ply,160.291,1229.558,30.949,17.309,12.506,
0827_07_mesh_7.ply,163.586,1006.208,29.300,21.654,9.592,
0827_07_mesh_8.ply,377.565,1224.052,54.707,17.157,7.136,
0827_07_mesh_9.ply,699.894,1563.104,32.652,26.005,11.000,
