File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0827_09_mesh_1.ply,663.657,1085.203,34.730,14.295,10.134,
0827_09_mesh_10.ply,152.872,665.323,27.680,15.413,6.075,
0827_09_mesh_11.ply,60.078,690.946,24.804,15.630,3.818,
0827_09_mesh_2.ply,169.918,440.050,31.067,10.289,3.170,
0827_09_mesh_3.ply,515.417,1579.756,48.485,16.237,11.122,
0827_09_mesh_4.ply,244.560,465.088,26.152,14.094,3.202,
0827_09_mesh_5.ply,215.011,728.525,42.995,8.953,7.827,
0827_09_mesh_6.ply,194.468,1432.146,46.975,19.029,11.349,
0827_09_mesh_7.ply,660.578,2366.490,65.895,27.112,8.995,
0827_09_mesh_8.ply,78.414,617.244,26.938,17.038,1.386,
0827_09_mesh_9.ply,176.188,656.910,45.446,9.236,6.857,
