File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S10c_mesh_1.ply,102.349,1063.623,60.399,13.473,10.583,0.065
S10c_mesh_2.ply,1254.071,1467.304,55.849,22.130,13.686,0.045
S10c_mesh_3.ply,772.820,865.721,26.887,12.195,15.082,0.035
S10c_mesh_4.ply,2539.368,2837.572,47.248,44.028,10.752,0.213
