File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S7f_mesh_1.ply,4628.074,3547.348,85.436,35.187,14.484,0.074
S7f_mesh_2.ply,759.347,2172.684,61.660,24.941,8.115,0.327
