File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0824_07_mesh_1.ply,49.778,230.093,25.202,5.403,3.717,
0824_07_mesh_10.ply,90.835,339.258,18.463,11.576,4.851,
0824_07_mesh_11.ply,140.809,318.343,19.983,9.031,2.300,
0824_07_mesh_12.ply,103.641,339.023,23.746,9.404,3.986,
0824_07_mesh_13.ply,128.144,387.545,31.237,9.565,2.427,
0824_07_mesh_14.ply,109.905,228.616,18.644,8.494,3.216,
0824_07_mesh_15.ply,228.952,293.856,14.476,10.691,3.949,
0824_07_mesh_16.ply,65.139,252.002,20.511,7.187,1.968,
0824_07_mesh_17.ply,92.355,340.153,13.454,12.407,4.906,
0824_07_mesh_18.ply,231.802,542.217,39.490,10.538,7.455,
0824_07_mesh_19.ply,64.382,337.339,21.292,10.179,2.980,
0824_07_mesh_2.ply,46.980,242.040,14.342,8.747,5.191,
0824_07_mesh_20.ply,78.565,257.181,20.307,9.714,2.513,
0824_07_mesh_21.ply,126.599,346.997,21.268,8.303,5.014,
0824_07_mesh_22.ply,260.489,358.773,19.979,9.812,3.413,
0824_07_mesh_23.ply,208.950,428.486,21.139,12.462,3.460,
0824_07_mesh_24.ply,51.252,223.392,14.243,8.676,2.499,
0824_07_mesh_25.ply,55.652,321.438,24.173,6.820,5.311,
0824_07_mesh_26.ply,86.222,202.231,13.755,10.319,3.011,
0824_07_mesh_27.ply,133.761,216.974,12.380,8.532,4.776,
0824_07_mesh_3.ply,244.434,545.358,31.859,10.234,6.161,
0824_07_mesh_4.ply,78.891,280.680,11.385,10.548,4.482,
0824_07_mesh_5.ply,144.733,409.411,23.583,8.912,6.533,
0824_07_mesh_6.ply,347.456,411.302,16.754,13.929,6.557,
0824_07_mesh_7.ply,52.622,319.422,24.082,8.226,2.599,
0824_07_mesh_8.ply,142.466,498.124,29.090,9.860,7.175,
0824_07_mesh_9.ply,72.436,219.584,12.649,12.177,5.056,
