File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0824_05_mesh_1.ply,279.708,682.231,49.568,9.279,4.172,
0824_05_mesh_10.ply,114.058,260.822,14.927,9.033,3.302,
0824_05_mesh_11.ply,127.978,284.900,16.929,12.931,3.083,
0824_05_mesh_12.ply,158.283,1020.740,43.458,17.850,9.880,
0824_05_mesh_13.ply,181.180,360.922,25.619,7.314,3.204,
0824_05_mesh_14.ply,190.170,508.016,29.174,10.707,5.761,
0824_05_mesh_15.ply,361.373,457.568,23.608,10.245,3.636,
0824_05_mesh_16.ply,174.961,413.683,44.218,6.909,2.957,
0824_05_mesh_17.ply,8.431,199.035,13.260,8.450,4.576,
0824_05_mesh_18.ply,127.514,823.879,38.094,11.689,4.881,
0824_05_mesh_19.ply,136.145,562.038,33.652,11.571,3.274,
0824_05_mesh_2.ply,127.412,401.610,19.200,13.296,5.054,
0824_05_mesh_20.ply,22.833,330.923,17.743,11.022,2.601,
0824_05_mesh_21.ply,171.055,594.130,24.106,12.020,6.457,
0824_05_mesh_3.ply,411.129,827.038,43.979,10.954,7.486,
0824_05_mesh_4.ply,185.955,414.975,21.275,10.842,6.313,
0824_05_mesh_5.ply,56.773,428.896,19.405,15.946,2.775,
0824_05_mesh_6.ply,101.820,397.017,22.431,13.782,2.578,
0824_05_mesh_7.ply,79.314,489.752,30.020,9.315,6.081,
0824_05_mesh_8.ply,278.132,836.412,42.810,10.339,3.824,
0824_05_mesh_9.ply,80.041,388.566,24.970,9.866,4.357,
