File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0824_04_mesh_1.ply,125.596,1242.306,49.335,14.863,6.729,
0824_04_mesh_2.ply,401.383,813.097,25.689,22.850,4.496,
0824_04_mesh_3.ply,6237.209,7772.035,136.855,43.490,24.558,
0824_04_mesh_4.ply,283.858,819.099,39.513,15.301,11.934,
0824_04_mesh_5.ply,75.322,620.115,19.104,17.330,7.750,
0824_04_mesh_6.ply,1060.716,2360.097,73.662,31.189,15.387,
0824_04_mesh_7.ply,227.533,632.272,20.378,16.819,5.156,
0824_04_mesh_8.ply,435.058,1157.713,41.524,15.425,8.860,
0824_04_mesh_9.ply,465.195,727.874,27.205,14.082,7.705,
