File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0522_03_mesh_1.ply,141.101,244.203,13.642,8.609,5.705,0.036
0522_03_mesh_10.ply,367.044,711.532,84.517,11.787,5.361,0.178
0522_03_mesh_11.ply,77.117,119.619,10.453,4.598,3.787,0.014
0522_03_mesh_12.ply,131.704,201.456,13.334,5.937,3.723,0.045
0522_03_mesh_13.ply,496.158,453.08,18.035,12.205,7.282,0.144
0522_03_mesh_14.ply,9.006,202.548,11.573,9.851,3.539,0.008
0522_03_mesh_15.ply,44.215,130.463,12.689,5.455,3.348,0.013
0522_03_mesh_16.ply,151.597,176.415,12.532,4.827,4.296,0.033
0522_03_mesh_2.ply,314.231,491.369,47.99,10.247,4.913,0.079
0522_03_mesh_3.ply,140.391,292.598,39.327,8.931,3.169,0.025
0522_03_mesh_4.ply,607.466,863.11,43.709,7.728,9.011,0.213
0522_03_mesh_5.ply,497.906,741.68,66.021,13.761,4.93,0.084
0522_03_mesh_6.ply,137.472,309.309,30.041,6.983,5.421,0.035
0522_03_mesh_7.ply,156.528,348.361,49.782,10.189,3.596,0.023
0522_03_mesh_8.ply,289.555,333.187,19.349,7.917,6.483,0.077
0522_03_mesh_9.ply,1313.851,1008.543,16.508,15.19,14.219,
