File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0524_13_mesh_1.ply,1174.63,866.93,40.086,9.516,8.783,0.302
0524_13_mesh_10.ply,256.174,477.548,63.47,12.148,4.731,0.079
0524_13_mesh_11.ply,186.794,199.062,13.479,6.762,4.82,0.047
0524_13_mesh_12.ply,77.933,216.599,20.915,4.892,5.08,0.063
0524_13_mesh_13.ply,263.277,319.535,21.738,6.806,5.509,0.059
0524_13_mesh_14.ply,427.588,584.744,47.499,8.487,6.679,0.106
0524_13_mesh_2.ply,544.35,440.933,21.777,8.037,6.231,0.146
0524_13_mesh_3.ply,1799.758,1469.447,82.444,13.08,10.439,0.309
0524_13_mesh_4.ply,510.013,535.233,32.603,9.815,7.078,0.118
0524_13_mesh_5.ply,1225.721,715.736,11.918,12.482,13.734,
0524_13_mesh_6.ply,144.616,176.569,13.699,6.516,4.63,0.042
0524_13_mesh_7.ply,693.241,819.341,58.977,19.083,4.976,0.146
0524_13_mesh_8.ply,3409.929,2111.499,90.664,15.472,9.546,1.0
0524_13_mesh_9.ply,1138.161,1084.147,67.105,15.745,6.796,0.233
