File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0825_01_mesh_1.ply,998.795,2066.805,56.225,19.439,8.082,0.296
0825_01_mesh_10.ply,1140.978,2475.981,77.678,17.798,16.873,0.360
0825_01_mesh_11.ply,1042.831,1604.730,40.944,28.779,5.109,0.225
0825_01_mesh_2.ply,30.552,919.108,27.550,20.516,7.228,0.067
0825_01_mesh_3.ply,482.385,976.448,20.904,19.997,13.097,0.099
0825_01_mesh_4.ply,1475.445,2726.379,44.530,23.177,14.253,0.259
0825_01_mesh_5.ply,4976.938,4278.440,87.436,26.544,15.583,0.467
0825_01_mesh_6.ply,203.087,738.215,35.539,14.085,3.763,0.024
0825_01_mesh_7.ply,373.122,793.332,17.871,22.302,9.091,0.130
0825_01_mesh_8.ply,5.183,815.317,23.391,16.761,7.300,0.054
0825_01_mesh_9.ply,718.744,1218.389,27.003,29.360,5.634,0.138
