File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0825_03_mesh_1.ply,23.695,146.041,11.526,9.117,1.324,0.002
0825_03_mesh_10.ply,25.911,246.423,19.360,8.713,1.961,0.008
0825_03_mesh_11.ply,25.076,93.173,9.274,5.939,1.489,0.004
0825_03_mesh_5.ply,130.878,265.998,14.506,10.649,2.124,0.022
0825_03_mesh_2.ply,90.273,163.689,10.426,10.433,2.489,0.012
0825_03_mesh_3.ply,169.294,466.218,25.511,13.644,2.457,0.036
0825_03_mesh_4.ply,175.036,306.924,18.808,10.070,3.569,0.039
0825_03_mesh_6.ply,48.414,154.157,14.158,7.155,1.580,0.008
0825_03_mesh_7.ply,87.746,244.935,11.535,15.450,5.123,0.016
0825_03_mesh_8.ply,61.875,108.946,10.023,5.507,3.576,0.017
0825_03_mesh_9.ply,117.368,257.406,17.163,10.249,2.354,0.028
